INFO_TIME,COUNTY_ID,COUNTY_ID_NM,TOWN_ID,TOWN_ID_NM,V_ID,V_ID_NM,fld0101,fld0201,fld0301,fld0401
╕ъо╞о╔╢б,┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,дс╝╞,дHдf╝╞,иkй╩дHдf╝╞,дkй╩дHдf╝╞
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-009","е╔е╨з°",948,2495,1341,1154
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-002","е╔е█з°",847,2198,1162,1036
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-013","е╔е·з°",409,1150,619,531
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-001","е╒╢│з°",645,1900,1020,880
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-012","е╒├Zз°",344,973,542,431
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-014","е·кZз°",529,1484,801,683
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-015","зdиFз°",1031,2911,1535,1376
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-011","кLм№з°",475,1417,749,668
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-008","о╔╝щз°",616,1674,908,766
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-017","░╠▒[з°",391,1135,621,514
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-003","╝w╢зз°",1852,4512,2215,2297
"103Y3M","10002","йy─ї┐д","10002050","┴G╖╦╢m","10002050-016","└s╝цз°",1198,3806,1948,1858
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-004","дj╖sи╜",757,1865,908,957
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-029","дддsи╜",657,1644,804,840
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-030","дпйMи╜",521,1293,616,677
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-024","дп╖Rи╜",1349,4365,2100,2265
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-011","дп╝wи╜",573,1431,723,708
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-020","д╜е┐и╜",1273,3691,1794,1897
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-018","е_жии╜",1176,3566,1705,1861
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-010","жие\и╜",624,1808,857,951
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-023","ж╦кLи╜",1196,3750,1829,1921
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-017","жшжwи╜",1144,3327,1576,1751
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-005","кFжwи╜",1566,4382,2029,2353
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-022","лH╕qи╜",1377,3831,1820,2011
